17515.   25666.66666666666
17565.   25666.66666666666
17821.96969696969   33863.63636363636
17751.66666666666   25666.66666666666
19268.33333333333   29166.66666666666
19751.66666666666   29166.66666666666
20990.   32666.66666666666
21773.33333333333   32666.66666666666
22031.66666666666   32666.66666666666
22340.   30000.
23086.96969696969   37363.63636363636
23145.90909090909   37363.63636363636
24591.12121212121   37363.63636363636
25335.51515151515   43500.
24537.64646464646   43500.
25767.94949494949   43500.
26356.27272727272   56000.
27138.49494949495   56000.
28702.93434343434   56000.
32348.44949494949   1.96e+5
