Tempo medio per run = 	38.248792219
Tempo medio Fitness per run = 	36.7124320016
Tempo medio per il resto della riproduzione per run = 	1.0622671918
Tempo medio esecuzione individui per run = 	35.363159782
Tempo medio test correttezza individui per run = 	0.284514945
