16426.66666666666   23333.33333333333
16640.   23333.33333333333
17223.33333333333   23333.33333333333
17448.33333333333   22166.66666666666
17441.66666666666   25666.66666666666
17985.   25666.66666666666
17920.   25666.66666666666
18561.96969696969   33863.63636363636
19329.0909090909   33863.63636363636
19398.63636363636   33863.63636363636
19780.75757575757   31909.0909090909
20297.93939393939   36400.
20586.0606060606   37363.63636363636
21292.63636363636   37363.63636363636
22619.24242424242   37363.63636363636
23253.93939393939   55090.90909090908
24554.0909090909   55090.90909090908
25983.84848484848   55090.90909090908
28340.84848484848   55090.90909090908
30038.84848484848   55090.90909090908
29789.0909090909   55090.90909090908
30130.0909090909   55090.90909090908
25752.69696969696   1.96e+5
